aX,aY,aZ,gX,gY,gZ
0.402,0.194,-0.219,2.625,32.532,-15.015
0.478,0.125,-0.139,-2.441,19.592,-12.695
0.515,0.105,-0.044,-3.479,6.042,-11.23
0.571,0.038,0.031,-3.723,-1.77,-10.193
0.704,0.002,0.063,-2.93,-4.333,-7.874
0.818,0.032,0.099,-2.319,-6.226,-4.211
0.924,0.034,0.121,-0.244,-7.568,-2.93
0.979,0.02,0.024,0.916,-0.061,-2.869
1.022,0.044,-0.064,1.16,3.174,-2.136
1.064,0.064,-0.082,0.305,1.709,-0.793
1.124,0.059,-0.047,0.183,-0.732,-0.977
1.139,0.069,-0.035,-1.099,-0.671,-1.282
1.093,0.004,-0.02,-2.441,1.099,-1.099
1.072,0,-0.022,-5.859,4.456,3.723
1.133,0.091,0.011,-7.507,2.441,9.094
1.129,0.099,0.111,-3.601,-2.625,5.249
1.082,0.076,0.092,-1.038,-0.549,-2.197
1.002,0.034,0.098,2.075,0.122,-6.836
0.946,0.018,0.102,3.662,-0.732,-8.606
0.899,0.014,0.099,4.272,-0.671,-8.301
0.864,0,0.088,4.639,-0.366,-7.08
0.836,0.008,0.082,4.517,-0.122,-5.31
0.824,0.015,0.056,4.944,0.122,-3.54
0.819,0.022,0.048,5.188,-0.122,-2.136
0.818,0.031,0.041,5.859,-0.671,-0.793
0.848,0.06,0.014,6.775,-0.854,0.793
0.906,0.125,-0.022,8.606,-2.319,0.854
0.937,0.119,0,11.292,-6.165,-3.174
0.908,0.055,0.021,12.329,-6.287,-5.798
0.922,0.07,-0.026,10.986,-2.38,-1.953
0.976,0.109,-0.037,9.155,-1.831,4.028
1.063,0.17,-0.036,5.798,-2.991,8.057
1.122,0.198,0.005,3.906,-4.211,8.118
1.163,0.2,0.03,3.052,-4.028,5.371
1.163,0.201,0.032,3.113,-2.258,2.075
1.09,0.123,0.044,2.319,1.038,-0.488
1.054,0.082,-0.002,-1.465,6.226,2.808
1.118,0.173,-0.023,-4.395,5.066,9.583
1.115,0.203,0.034,-1.648,-0.671,7.385
1.09,0.167,0.01,0.854,0.427,-1.526
1.038,0.134,-0.015,2.502,3.235,-6.287
0.993,0.112,-0.015,2.319,2.991,-8.179
0.953,0.076,-0.018,1.038,3.357,-9.155
0.914,0.043,-0.013,0,2.869,-8.545
0.898,0.026,-0.01,-0.122,1.892,-6.958
0.896,0.023,0.002,0.305,1.16,-5.249
0.902,0.033,0.012,1.221,1.038,-3.906
0.907,0.028,0.005,1.831,0.732,-3.113
0.925,0.039,-0.007,1.404,0.122,-2.38
0.93,0.047,-0.006,0.61,-1.404,-2.136
0.925,0.035,0.006,0.305,-2.136,-2.991
0.918,0.022,0.022,1.282,-2.686,-3.113
0.917,0.018,0.034,2.686,-2.808,-2.441
0.935,0.023,0.019,3.784,-2.014,-1.465
0.954,0.042,0.001,4.395,-1.77,-0.549
0.969,0.042,0.018,5.005,-2.869,-0.305
0.979,0.039,0.04,5.066,-2.808,0.122
1.002,0.057,0.074,4.639,-1.465,1.221
1.017,0.076,0.071,4.456,0.488,1.831
1.018,0.086,0.047,4.7,2.319,1.709
1.021,0.106,0.023,4.333,2.441,1.404
1.01,0.113,0.007,3.967,1.343,1.16
1.026,0.135,-0.025,3.235,0.305,0.061
1.006,0.124,0.017,3.052,-1.953,-2.258
0.995,0.086,0.008,2.991,-2.136,-5.005
0.98,0.068,0.011,2.563,-2.197,-4.211
0.974,0.064,0.01,1.587,-2.441,-2.38
0.97,0.061,0.02,0.854,-2.075,-1.099
0.965,0.054,0.03,0.549,-1.587,0.183
0.959,0.051,0.014,0.122,-0.305,1.587
0.958,0.053,0.008,-0.488,0.549,3.113
0.977,0.072,0.014,-0.61,0.61,4.15
0.982,0.086,0.003,-0.305,0.366,3.845
0.97,0.077,-0.011,-0.244,0.122,2.136
0.964,0.069,0.017,-0.061,-1.465,0.732
0.972,0.069,0.027,0.793,-2.075,0.244
0.979,0.071,0.026,0.916,-1.16,-0.427
0.977,0.066,0.019,1.282,-0.732,-0.916
0.975,0.064,0.026,1.831,-1.648,-0.61
0.992,0.072,0.041,2.197,-2.502,-0.183
1.005,0.077,0.045,1.831,-2.075,0.183
1.009,0.081,0.032,1.099,-1.16,0.488
1.002,0.085,0.021,0.366,-0.671,0.977
0.996,0.087,0.006,0.183,-1.038,1.282
0.975,0.065,0.02,0.427,-1.099,0.916
0.966,0.05,0.041,-0.061,-0.854,0.854
0.97,0.059,0.035,0.183,0,2.441
0.983,0.081,0.019,0.977,0.793,3.662
0.984,0.09,0.015,1.709,1.16,3.418
0.987,0.083,0.021,1.709,0.854,2.93
0.999,0.096,0.024,0.366,-0.549,3.113
1,0.099,0.026,0,-2.197,2.563
0.997,0.107,0.014,-0.183,-3.296,1.77
0.986,0.102,0.014,-0.305,-3.54,0.549
0.972,0.089,0.033,0.061,-3.113,-0.671
0.96,0.072,0.041,0.61,-2.075,-1.282
0.973,0.071,0.04,0.671,-1.404,-1.038
0.981,0.073,0.044,0.61,-0.732,-0.366
0.991,0.081,0.031,0.366,-0.061,0.366
0.992,0.088,0.017,-0.244,0.671,0.671
0.987,0.085,0.017,-0.427,0.793,0.305
0.984,0.072,0.03,-0.244,0.122,-0.244
0.985,0.068,0.025,-0.122,-0.854,-0.122
0.984,0.064,0.029,0.183,-1.587,0.122
,,,,,
2.315,-0.088,0.043,-17.761,-23.926,44.617
2.333,0.089,-0.014,-12.939,-10.986,49.805
2.394,0.281,0.094,-8.789,-5.066,46.387
2.373,0.367,0.266,-8.24,-0.549,35.95
2.183,0.354,0.361,-7.385,7.019,20.386
1.905,0.258,0.332,-3.54,14.954,5.005
1.571,0.171,0.252,-1.526,21.179,-3.479
1.279,0.111,0.235,2.808,21.667,-7.751
1.035,0.069,0.17,5.859,24.902,-10.62
0.797,0.031,-0.021,6.226,31.311,-11.78
0.652,0.014,-0.162,5.432,31.067,-9.277
0.609,-0.046,-0.082,5.371,20.874,-6.775
0.582,-0.055,-0.017,4.7,11.963,-2.441
0.551,-0.021,-0.087,4.822,7.202,1.953
0.566,-0.014,-0.16,5.371,1.831,3.601
0.705,0.035,-0.12,5.127,-7.507,5.371
0.757,-0.053,0.049,5.31,-17.212,4.883
0.859,-0.054,0.099,3.967,-13.855,7.629
0.959,-0.046,0.086,3.174,-5.92,12.39
1.063,0.005,0.025,1.709,-1.709,17.883
1.181,0.087,0.02,1.892,-1.282,20.447
1.256,0.141,0,2.38,-0.549,18.127
1.236,0.144,-0.047,3.113,0.732,11.292
1.104,0.031,-0.057,3.601,1.648,5.432
1.11,0.097,-0.13,0.427,4.028,8.911
1.085,0.134,-0.033,1.648,-1.282,9.277
1.077,0.125,-0.044,1.77,-1.465,2.319
1.027,0.106,-0.015,2.319,-1.282,-1.038
0.976,0.073,0.01,2.319,-2.319,-2.502
